ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
130.84317542418,19.20015609702,661024024093555840,5.196,0.0604,-36.141,0.06,-11.719,0.043,0.0257,0,1.007,16.396505, 2.732182,NOT_AVAILABLE,0,186.5561,1.0
130.91682945834,19.20678181513,661025291107748736,2.2672,0.2065,-50.883,0.203,-32.912,0.147,0.0136,0,0.983,18.558016, 2.666771,NOT_AVAILABLE,0,379.2819,1.0
130.98591995206,19.27161731852,661026012662301568,5.4568,0.3041,-34.858,0.359,-11.802,0.345,0.0282,0,1.033,18.842724, 3.110588,NOT_AVAILABLE,0,264.8741,1.0
130.5799733072,19.03738445711,661026738512909440,5.4114,0.0511,-36.236,0.053,-11.726,0.036,0.0196,0,1.003,16.121225, 2.519827,NOT_AVAILABLE,0,177.9442,1.0
130.59444961233,19.1025277018,661028112900927488,6.0104,0.6935,-34.556,0.757,-12.097,0.528,0.00846,1,1.151,20.240057, 2.945324,NOT_AVAILABLE,0,,1.0
130.60317174739,19.10400660802,661028142966971904,0.9005,0.3682,-34.598,0.372,-25.053,0.269,0.0117,0,0.961,19.645895, 2.312424,NOT_AVAILABLE,0,,0.68
130.62791373219,19.11598043243,661028284701128576,5.224,0.1034,-35.982,0.105,-11.411,0.077,0.0134,1,0.942,17.651209, 3.118868,NOT_AVAILABLE,0,201.744,1.0
130.67689728969,19.09964788903,661028662658249344,5.5697,0.0308,-37.388,0.033,-13.659,0.023,0.0197,0,1.47,11.436010, 0.920414,NOT_AVAILABLE,0,177.1841,1.0
130.75989456319,19.16751479861,661029384212747392,5.3884,0.0226,-36.681,0.022,-11.377,0.017,0.00922,0,1.495,11.905254, 1.017664,VARIABLE     ,0,182.5364,1.0
130.75224846175,19.16818006689,661029384213853184,2.2501,0.3476,-30.506,0.33,-41.112,0.243,0.0154,0,0.999,19.523418, 2.150263,NOT_AVAILABLE,0,,0.74
130.66737012231,19.13303505821,661029727808613760,5.2954,0.0216,-35.652,0.022,-11.605,0.016,0.0341,0,1.495,11.918682, 1.009741,VARIABLE     ,0,186.5693,1.0
130.65302985178,19.18329820796,661030204551377280,5.3613,1.0348,-42.628,1.473,-7.613,0.799,0.0446,0,1.075,20.613250, 2.455755,NOT_AVAILABLE,0,,1.0
130.58352129928,19.15152487933,661031480156796544,5.3571,0.0143,-36.066,0.015,-11.651,0.012,0.0119,0,1.024,13.085061, 1.402228,NOT_AVAILABLE,0,185.5201,1.0
130.49170430305,19.20584778334,661032815890103680,1.7611,0.2761,-37.602,0.285,-45.148,0.208,0.137,0,2.556,17.779745, 2.382610,NOT_AVAILABLE,0,,0.78
130.55125433378,19.21346204024,661034155919816960,5.3669,0.0147,-36.4,0.016,-11.779,0.012,0.00791,0,0.986,13.246718, 1.451609,NOT_AVAILABLE,0,185.5216,1.0
130.73437753716,19.2159237078,661036359239634048,2.9107,0.0279,-23.822,0.028,-28.504,0.021,0.017,0,1.067,14.955371, 1.601130,NOT_AVAILABLE,0,329.2519,0.52
130.780851184,19.23862976736,661036840275967744,5.6265,0.062,-38.15,0.061,-14.131,0.047,0.0196,0,1.045,16.537294, 2.907687,NOT_AVAILABLE,0,,1.0
130.7807402671,19.23747650554,661036840275967872,5.6071,0.0415,-38.43,0.041,-13.694,0.031,0.0132,1,1.069,15.714093, 2.456947,NOT_AVAILABLE,0,176.1485,1.0
130.76951964202,19.28902021091,661037317017547520,4.9932,1.063,-39.726,1.308,-11.305,0.843,0.0588,0,1.1,20.635815, 2.280926,NOT_AVAILABLE,0,,1.0
130.67515267541,19.29224802137,661040070091376512,5.0291,0.0399,-32.238,0.042,-13.305,0.033,0.00953,0,2.736,14.027174, 1.842197,VARIABLE     ,1,197.527,1.0
130.76132333283,19.318667151,661040375034239104,5.1733,0.4696,-36.502,0.467,-12.426,0.355,0.0153,0,0.994,19.860950, 2.696093,NOT_AVAILABLE,0,,1.0
130.77547211549,19.41444731218,661043506065199488,5.3196,0.0629,-35.998,0.065,-12.676,0.047,0.0111,0,0.966,16.614388, 2.822724,NOT_AVAILABLE,0,,1.0
130.77457947402,19.43752215965,661043746584485632,5.2927,0.0586,-35.484,0.063,-13.027,0.041,0.0259,0,3.563, 9.779970, 0.797499,NOT_AVAILABLE,0,181.1787,1.0
131.46728125955,18.92622580636,661045327131322624,2.6303,0.0742,-37.416,0.077,-13.173,0.055,0.0247,0,0.979,16.725650, 2.125016,NOT_AVAILABLE,0,358.5207,0.96
131.63307852818,18.97373295621,661046765943861632,5.7643,0.2457,-37.079,0.291,-12.247,0.188,0.0105,0,0.959,18.915508, 3.253719,NOT_AVAILABLE,0,198.7524,1.0
131.38389678093,18.96443731633,661048694385684224,5.3292,0.0778,-35.649,0.079,-11.296,0.056,0.0193,0,1.039,16.667854, 2.726795,NOT_AVAILABLE,0,197.6882,1.0
131.36897877747,18.99666305754,661049690818095488,5.0907,0.2059,-36.02,0.211,-11.016,0.162,0.0148,0,1.066,18.462048, 3.142078,NOT_AVAILABLE,0,,1.0
131.32973099014,19.00296458746,661049862616788992,5.4177,0.0172,-36.38,0.018,-12.737,0.015,0.00808,0,0.919,13.430594, 1.512260,VARIABLE     ,0,186.1104,1.0
131.44371541679,19.0494080088,661051679386429952,5.6179,0.0348,-38.835,0.034,-12.721,0.025,0.037,0,1.06, 7.993558, 0.299564,NOT_AVAILABLE,0,182.6403,1.0
131.50912050891,19.11645162793,661052405238360704,5.2128,0.1208,-35.179,0.124,-12.142,0.092,0.00742,94,1.298,16.593094, 2.853656,NOT_AVAILABLE,0,,1.0
131.6348903408,19.03521064651,661053122497715072,2.0241,0.698,-27.655,0.829,-46.058,0.551,0.0198,0,0.973,20.301754, 2.100637,NOT_AVAILABLE,0,,0.72
131.59752413237,19.07875795586,661054191943805440,4.5513,0.0992,-24.742,0.106,-18.484,0.079,0.0183,0,0.988,17.445868, 2.756609,NOT_AVAILABLE,0,222.0238,0.98
131.56162922932,19.14676132648,661058452551361280,8.4186,0.05,-63.072,0.054,52.207,0.037,0.01,0,1.003,16.195540, 2.435622,NOT_AVAILABLE,0,118.2415,1.0
131.5733401194,19.16607402376,661058826212114048,3.3954,0.2078,-42.406,0.217,0.612,0.17,0.0116,0,1.014,18.693872, 2.886230,NOT_AVAILABLE,0,,1.0
131.65306666817,19.22599060284,661059895660363008,5.2865,0.0578,-32.961,0.059,-8.351,0.043,0.0118,0,0.975,16.425760, 2.510210,NOT_AVAILABLE,0,187.082,1.0
131.61404619305,19.2090128797,661060479775918592,5.3246,0.1375,-37.85,0.144,-12.423,0.108,0.0193,0,1.021,18.088068, 3.154081,NOT_AVAILABLE,0,209.0017,1.0
131.62918649279,19.2199891838,661060514135654784,4.7462,0.1839,-60.634,0.189,-8.627,0.135,0.0157,0,1.07,18.507708, 2.875385,NOT_AVAILABLE,0,218.4445,1.0
131.64510112512,19.25717749195,661061098251203968,5.4782,0.0664,-37.042,0.067,-12.898,0.047,0.0202,1,0.953,16.667530, 2.772420,NOT_AVAILABLE,0,189.1001,1.0
131.66781923306,19.2750397661,661061231393869056,5.8661,0.1272,-39.795,0.132,-13.401,0.088,0.0245,0,1.021,17.773924, 3.105410,NOT_AVAILABLE,0,194.3265,1.0
131.20618614922,19.09193699366,661066041758193920,4.5028,0.4563,-40.263,0.452,-46.308,0.337,0.00687,0,1.018,19.576061, 2.920069,NOT_AVAILABLE,0,,1.0
131.28544028486,19.15222744489,661066664529794688,5.3172,0.1276,-35.138,0.148,-11.157,0.109,0.0201,0,0.944,17.632055, 2.967218,NOT_AVAILABLE,0,,1.0
131.17346868079,19.1833287042,661067592241782400,1.1819,0.3835,-41.018,0.377,-0.447,0.267,0.0223,0,1.048,19.136364, 2.298372,NOT_AVAILABLE,0,,0.76
131.3608204561,19.23681520181,661068932271565696,5.3721,0.0911,-36.507,0.097,-12.593,0.068,0.00391,2,1.012,17.085348, 3.127691,NOT_AVAILABLE,0,,1.0
131.49633715406,19.2534531818,661072059007752320,5.6024,0.0675,-40.91,0.074,-11.696,0.053,0.0301,0,1.056,16.763279, 2.864758,NOT_AVAILABLE,0,181.1318,1.0
131.46982285924,19.31678705467,661075490685321344,5.4906,0.04,-37.734,0.043,-12.445,0.028,0.0122,0,1.025,15.569469, 2.377883,NOT_AVAILABLE,0,176.4461,1.0
131.46405420686,19.42418977072,661078896595610240,5.5615,0.0448,-37.946,0.046,-13.23,0.031,0.0153,0,1.056,15.746805, 2.506415,NOT_AVAILABLE,0,177.6539,1.0
131.83063714961,19.21440446754,661079652509975936,5.5544,0.0754,-37.723,0.082,-11.767,0.061,0.0122,0,0.958,17.080803, 2.946275,NOT_AVAILABLE,0,182.7224,1.0
131.9003308765,19.30321287815,661082607447471616,4.714,0.0144,-31.812,0.015,-52.003,0.012,0.0222,0,1.028,12.614257, 1.106456,NOT_AVAILABLE,0,211.6203,0.9
