ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
119.54462954125,-60.8256149533,5290720867621791488,2.4212,0.0122,-5.118,0.015,10.965,0.014,0.00544,1,0.894,11.865831, 0.754986,NOT_AVAILABLE,0,0.7
119.53822241228,-60.8215366628,5290720867621791616,1.3599,0.0168,-13.66,0.022,5.512,0.018,0.00259,0,1.006,14.194729, 0.977713,NOT_AVAILABLE,0,0.7
119.54007819606,-60.81684299197,5290720867621791872,2.4266,0.0157,-4.853,0.019,11.839,0.018,0.0125,1,1.019,6.311852, 1.424249,NOT_AVAILABLE,0,0.7
119.58242079255,-60.82730306466,5290720901976984576,2.4846,0.0149,-4.708,0.018,11.764,0.018,0.00567,0,1.077,10.904547, 0.479045,NOT_AVAILABLE,0,0.7
119.56898515855,-60.82360090099,5290720901981531264,1.6386,0.0133,-8.957,0.017,3.63,0.015,0.0041,0,0.995,13.783368, 0.953915,NOT_AVAILABLE,0,0.78
119.52906865089,-60.80641247571,5290721069482679680,2.3832,0.0447,-5.283,0.064,10.909,0.052,0.00268,1,1.032,16.503284, 2.316618,NOT_AVAILABLE,0,0.7
119.53049961577,-60.81802278139,5290721073777613312,0.6212,0.0647,-18.763,0.089,5.543,0.075,0.00466,0,1.011,17.167334, 1.277435,NOT_AVAILABLE,0,0.52
119.51038376485,-60.81294463915,5290721108139876864,2.4236,0.019,-4.16,0.025,13.21,0.021,0.000985,1,1.113,8.899416, 0.135860,VARIABLE     ,0,0.7
119.52183579192,-60.79447392504,5290721142499618816,2.4082,0.0109,-4.426,0.014,11.509,0.012,0.00679,0,0.907,11.829331, 0.742514,NOT_AVAILABLE,0,0.7
119.55362542883,-60.80128565237,5290721176859357952,2.449,0.0189,-5.161,0.025,11.441,0.024,0.0156,0,0.9,7.179006, 0.153908,NOT_AVAILABLE,0,0.7
119.5695990133,-60.78082045959,5290721279938737280,2.4018,0.018,-3.65,0.023,10.077,0.021,0.00935,0,0.973,14.785611, 1.406238,VARIABLE     ,0,0.7
119.38964945682,-60.84453289551,5290721314298300672,2.2561,0.0808,-4.67,0.102,10.921,0.085,0.000986,0,0.95,17.654371, 2.551359,NOT_AVAILABLE,0,0.7
119.36862469794,-60.83995762377,5290721383017776896,2.4807,0.0197,-3.07,0.024,11.488,0.022,0.00464,0,1.512,9.88196, 0.322428,NOT_AVAILABLE,0,0.7
119.37234245858,-60.83616180609,5290721383017777024,2.4085,0.0855,-3.57,0.107,11.181,0.098,0.0169,0,7.699,13.449143, 1.070456,VARIABLE     ,0,0.7
119.43130117937,-60.82939261,5290721451738985600,2.4518,0.0738,-5.497,0.093,11.205,0.083,0.00314,0,1.038,17.43417, 2.424290,NOT_AVAILABLE,0,0.7
119.45069988494,-60.81574640481,5290721486096996736,2.4117,0.0151,-4.039,0.02,11.701,0.018,0.00712,1,0.995,9.574029, 0.168075,NOT_AVAILABLE,0,0.7
119.44196469898,-60.81091886928,5290721550516653952,2.354,0.0278,-3.939,0.037,12.01,0.031,0.00866,24,1.795,11.046515, 0.571490,VARIABLE     ,0,0.7
119.43789527681,-60.79800740083,5290721554816473856,2.3972,0.0124,-4.596,0.018,11.077,0.014,0.00267,0,0.87,11.598381, 0.712280,NOT_AVAILABLE,0,0.7
119.37122759529,-60.8177016421,5290721584876217984,1.4471,0.0914,-11.868,0.112,4.02,0.091,0.0152,0,0.917,17.720358, 2.141512,NOT_AVAILABLE,0,0.72
119.36018247931,-60.82025725235,5290721589176207744,2.6042,0.0114,6.652,0.015,4.884,0.012,0.00869,0,1.073,12.626668, 0.964990,NOT_AVAILABLE,0,0.6
