ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,NSS,prob
168.00828278735,-59.51086032274,1.5694,0.3217,-7.016,0.367,5.984,0.366, 9.06e-02,  0,10.951,15.452286, 1.435782,0,0.64
168.44145549949,-59.65320296174,1.8235,0.3363,-4.12,0.356,1.835,0.332, 1.42e-01, 47,5.801,17.115047, 1.456619,0,0.52
168.38096022431,-59.62110173963,1.4823,0.0388,-20.571,0.045,1.243,0.043, 1.45e-02,  0,1.603,14.459644, 0.849673,0,0.58
168.41550604251,-59.60717272929,3.1522,0.226,-21.844,0.248,3.285,0.206, 3.84e-02, 25,6.055,16.483711, 2.752696,0,0.6
168.27761863682,-59.59638648189,1.79,0.017,-16.379,0.019,-0.812,0.017, 1.98e-02,  0,1.026,14.192934, 1.013180,0,0.84
168.28596160712,-59.54693647096,1.3775,0.107,-12.143,0.117,4.322,0.104, 2.30e-02,  1,1.037,17.977758, 2.019823,0,0.64
168.28630100936,-59.52270551643,1.9304,0.1579,-13.178,0.173,12.709,0.152, 6.78e-02,  0,2.321,17.415281, 1.940355,0,0.78
168.46328403449,-59.51665974692,2.777,0.0128,-12.454,0.013,5.61,0.012, 2.72e-02,  0,0.858,13.459427, 1.050982,0,0.84
168.51923996476,-59.51488599432,2.0352,0.0162,-9.61,0.017,5.099,0.015, 1.40e-02,  0,0.882,14.136517, 1.118293,0,0.84
168.45088802242,-59.48151215702,1.8531,0.0144,-8.969,0.015,0.259,0.013, 1.99e-02,  0,0.846,13.728619, 0.929983,0,0.84
168.44185433712,-59.46005518778,2.6506,0.0389,-8.775,0.043,10.125,0.036, 1.58e-02,  1,0.956,16.344917, 2.052567,0,0.84
168.31149510836,-59.48025409106,1.6219,0.0418,-24.587,0.045,-3.319,0.041, 1.36e-02,  0,1.081,16.348211, 1.578549,0,0.84
168.3288977243,-59.44991865436,1.3421,0.0892,-17.424,0.095,2.283,0.084, 1.49e-02,  0,0.977,17.820127, 2.064278,0,0.5
168.33394965799,-59.42603084349,1.3903,0.0481,-20.569,0.053,2.477,0.046, 1.60e-02,  0,1.02,16.743990, 1.674211,0,0.5
168.21540141625,-59.57328116506,1.7475,0.0193,-7.906,0.021,8.864,0.02, 1.54e-02,  0,0.957,14.548775, 1.042507,0,0.84
168.21627027344,-59.57109638525,2.0836,0.3938,-10.907,0.426,6.994,0.396, 1.31e-01,  0,3.621,17.925549, 1.689114,0,0.78
168.16304302835,-59.53684901786,1.7021,0.3185,-8.594,0.363,5.661,0.32, 1.05e-01, 51,13.695,15.298270, 1.050149,0,0.76
168.17671372177,-59.50606326323,1.0739,0.0667,-22.292,0.075,-1.598,0.067, 2.43e-02,  0,0.957,17.248613, 1.683674,0,0.52
168.16854131254,-59.45852085732,1.3084,0.0191,-10.906,0.021,1.573,0.02, 2.14e-02,  0,1.001,14.704274, 0.990850,0,0.64
168.07750900106,-59.42370306243,2.1098,0.0169,-10.341,0.018,5.211,0.019, 1.92e-02,  0,0.952,14.373682, 1.104123,0,0.84
168.24003866405,-59.47354966698,2.5315,0.1089,-10.18,0.114,2.213,0.082, 2.25e-02,  0,1.331,16.609642,         ,0,0.84
168.23997246003,-59.47401297171,2.4637,0.2442,-10.923,0.267,3.253,0.234, 2.80e-02,  1,11.59,11.287506, 0.720165,0,0.84
168.15829122736,-59.43627371684,1.605,0.0793,-19.589,0.088,3.727,0.081, 2.80e-02,  1,1.179,17.368916, 1.759798,0,0.68
168.27461539589,-59.41831658238,1.7664,0.0189,-15.074,0.02,8.347,0.018, 1.68e-02,  5,0.942,14.575314, 1.082476,0,0.84
168.19302044854,-59.35134725734,2.1208,0.0289,-10.613,0.032,5.079,0.033, 7.29e-03,  0,0.948,15.735226, 1.587351,0,0.84
