ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
16.92258187565,84.63682127468,573717951829124608,1.337,0.1206,0.521,0.146,7.179,0.166,0.0158,0,1.019,18.473333, 2.573137,NOT_AVAILABLE,0,540.414,0.72
18.46594907616,84.65416487741,573719124356496000,0.4567,0.0282,-0.143,0.033,6.315,0.036,0.0163,0,0.941,15.783126, 0.968745,NOT_AVAILABLE,0,1684.1632,0.76
18.38140503457,84.69673962798,573719330513319552,1.4729,0.3864,1.496,0.503,9.78,0.549,0.00651,0,1.005,20.115664, 1.929838,NOT_AVAILABLE,0,,0.7
18.32213101596,84.69433105731,573719330514920832,0.6585,0.0666,-0.961,0.078,5.61,0.082,0.0236,0,0.981,17.444939, 1.374103,NOT_AVAILABLE,0,1468.122,0.78
17.63655730444,84.66447620562,573719674112307840,0.4245,0.1877,-1.827,0.248,5.527,0.249,0.00184,0,1.015,19.256834, 1.433788,NOT_AVAILABLE,0,,0.8
17.37046779789,84.72706183591,573720116493282816,0.307,0.2894,-0.121,0.342,8.692,0.369,0.02,0,0.99,19.827993, 1.711904,NOT_AVAILABLE,0,,0.7
17.50971081852,84.73014692833,573720498746018816,0.3639,0.0415,-2.487,0.048,5.867,0.051,0.0197,0,1.092,16.418360, 1.040194,NOT_AVAILABLE,0,2046.735,0.78
16.80800555977,84.74460998528,573723277588636032,0.8133,0.1274,-0.575,0.147,5.438,0.168,0.00925,0,1.092,18.483833, 1.718731,NOT_AVAILABLE,0,752.2217,0.76
16.68314980343,84.773720392,573723488043248512,0.891,0.0494,0.691,0.054,6.122,0.064,0.0166,0,0.893,16.899730, 1.450172,NOT_AVAILABLE,0,1078.8046,0.72
16.90350944536,84.77971440491,573723792984742912,0.6065,0.1994,-1.384,0.227,8.513,0.252,0.0125,0,1.11,19.108536, 2.021271,NOT_AVAILABLE,0,,0.7
15.89247084425,84.8106337672,573724548898990592,0.3193,0.0984,0.325,0.1,4.442,0.111,0.0274,0,0.966,17.948439, 1.017654,NOT_AVAILABLE,0,1998.7605,0.56
16.03727750926,84.80816621689,573724548898991616,0.4008,0.066,-1.105,0.073,7.382,0.081,0.0225,0,1.053,17.364117, 1.060699,NOT_AVAILABLE,0,1379.0697,0.72
18.4959953155,84.75726941825,573725412188602112,0.7521,0.0108,0.815,0.013,4.284,0.014,0.0213,0,1.104,12.438085, 0.583516,VARIABLE     ,0,1273.7709,0.52
18.26864463189,84.74571118281,573725480907086848,0.699,1.1153,3.711,1.743,10.297,1.786,0.0374,0,1.183,20.720870, 1.550510,NOT_AVAILABLE,0,,0.6
18.02342269557,84.74985358467,573725515267818240,0.2875,0.1373,0.09,0.158,4.247,0.176,0.023,0,0.971,18.692339, 0.926804,NOT_AVAILABLE,0,2684.735,0.5
18.00845845036,84.7516339736,573726271182061952,1.2513,0.0318,0.226,0.035,10.051,0.039,0.0226,0,1.028,15.968055, 1.241095,NOT_AVAILABLE,0,784.423,0.7
18.4073548366,84.87613110553,573728642003987072,0.7079,0.0405,-0.718,0.042,6.166,0.05,0.0205,0,0.955,16.483482, 1.112280,NOT_AVAILABLE,0,1369.2844,0.72
17.28266036555,84.85062033785,573729810235095552,0.3061,0.038,1.115,0.041,4.631,0.048,0.0228,0,0.948,16.434532, 0.993072,NOT_AVAILABLE,0,1816.4949,0.56
16.93011198662,84.82974080757,573729844594838144,0.7173,0.0173,3.648,0.02,6.212,0.023,0.0158,0,0.974,14.779828, 0.986244,NOT_AVAILABLE,0,,0.72
16.91540597707,84.88894830264,573730458774560000,1.2424,0.3162,1.109,0.351,6.807,0.386,0.00968,0,1.074,19.686811, 1.964209,NOT_AVAILABLE,0,,0.68
16.38537054625,84.8961899691,573731077249359872,0.9267,0.2113,0.878,0.249,7.778,0.262,0.03,0,1.037,19.173113, 2.274641,NOT_AVAILABLE,0,,0.7
16.43579706437,84.89949174121,573731115903488256,0.2443,0.1361,3.653,0.15,10.677,0.167,0.0157,0,1.013,18.534575, 0.939133,NOT_AVAILABLE,0,1990.3632,0.72
17.64516586569,84.89131796666,573731768740295296,0.5166,0.0651,1.595,0.075,7.623,0.081,0.0199,0,1.069,17.175962, 1.032350,NOT_AVAILABLE,0,1411.8278,0.72
17.54903295007,84.91912168656,573731970602603264,0.6791,0.0844,1.213,0.096,5.652,0.099,0.0217,0,1.021,17.662334, 1.536633,NOT_AVAILABLE,0,1143.0938,0.72
17.25201050336,84.94497993309,573732249776499968,0.8282,0.0512,-1.245,0.058,5.561,0.058,0.0225,0,1.066,16.792736, 1.550819,NOT_AVAILABLE,0,1014.6226,0.74
16.9560333761,84.95622585846,573732902610765056,0.6437,0.7689,0.561,0.834,9.913,1.299,0.0712,0,1.134,20.521893, 1.708193,NOT_AVAILABLE,0,,0.74
17.08785417198,85.00151417463,573733452367331840,0.9312,0.2699,2.808,0.305,11.291,0.303,0.0354,0,0.928,19.439700, 2.138304,NOT_AVAILABLE,0,,0.7
