ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,RAJ2000,DEJ2000,prob
132.43816613721,10.88445532514,1.292,0.2108,-26.351,0.223,-10.68,0.154, 4.52e-02,  0,1.142,18.514280, 2.116665,NOT_AVAILABLE,0,132.43828539884, 10.88450279347,0.8
132.38903291328,10.88014619347,1.4267,0.3705,-15.982,0.376,-2.679,0.272, 5.11e-02,  0,1.021,19.339989, 2.508347,NOT_AVAILABLE,0,132.38910524520, 10.88015810060,0.58
132.29356862589,10.88120894399,1.999,0.2865,-23.696,0.316,-13.976,0.207, 4.00e-02,  0,1.027,19.016970, 2.615437,NOT_AVAILABLE,0,132.29367586902, 10.88127105987,0.64
132.31491498528,10.90174653779,3.0186,0.3298,-8.168,0.331,-1.5,0.236, 8.85e-02, 13,1.177,18.920612, 1.921423,NOT_AVAILABLE,0,132.31495195424, 10.90175320299,0.52
132.54647230292,10.82682293372,3.1523,0.092,-6.871,0.097,8.909,0.074, 1.88e-02,  0,1.002,17.295736, 2.363872,NOT_AVAILABLE,0,132.54650339604, 10.82678333596,0.54
132.55653817021,10.86553616981,4.5199,1.6593,-6.653,2.249,-10.551,1.529, 1.30e-01,  0,1.073,20.759523, 2.115972,NOT_AVAILABLE,0,132.55656827757, 10.86558306485,0.58
132.53801078538,10.88081800686,2.2397,0.7133,-10.043,0.727,-2.576,0.512, 2.88e-02,  1,1.073,20.064991, 1.921286,NOT_AVAILABLE,0,132.53805623964, 10.88082945547,0.54
132.46469172989,10.880672369,2.2392,0.6307,-16.27,0.636,-18.126,0.447, 8.61e-03,  0,0.982,20.067894, 2.448805,NOT_AVAILABLE,0,132.46476536354, 10.88075292797,0.72
132.54572907994,10.95243872436,1.3901,0.097,-15.355,0.097,6.991,0.069, 4.55e-02,  1,0.994,17.193079, 1.614769,NOT_AVAILABLE,0,132.54579859049, 10.95240765508,0.84
132.56067404154,10.95059716292,2.0522,0.2472,-17.264,0.259,0.33,0.176, 1.85e-02,  0,1.018,18.686745, 2.419834,NOT_AVAILABLE,0,132.56075219354, 10.95059569497,0.9
132.62403302017,10.99861544725,1.0006,0.4683,-13.872,0.483,2.115,0.338, 1.05e-01,  0,1.009,19.681797, 2.299692,NOT_AVAILABLE,0,132.62409582647, 10.99860604892,0.58
132.43904460962,10.94632966929,1.622,0.0356,-27.124,0.036,4.09,0.025, 2.06e-02,  0,1.004,15.272827, 1.214471,NOT_AVAILABLE,0,132.43916739472, 10.94631149055,0.88
132.47707471729,10.94965725764,1.0993,0.287,-17.349,0.29,-4.23,0.201, 1.97e-02,  0,1.045,18.902729, 2.382212,NOT_AVAILABLE,0,132.47715325423, 10.94967605596,0.82
132.40707450194,10.94381817994,2.7846,0.359,-11.665,0.401,-11.36,0.254, 1.92e-02,  0,1.029,19.247986, 3.084673,NOT_AVAILABLE,0,132.40712730729, 10.94386866742,0.78
132.47893809551,11.0002064349,1.6787,0.1198,-27.665,0.121,5.82,0.084, 6.39e-02,  0,1.054,17.300205, 1.885679,NOT_AVAILABLE,0,132.47906335148, 11.00018056838,0.86
132.52261255726,11.00452187452,1.5647,0.928,-17.356,0.948,-9.473,0.592, 7.89e-02,  0,1.01,20.255919, 1.883104,NOT_AVAILABLE,0,132.52269114061, 11.00456397834,0.82
132.47506469434,11.03626469902,2.2144,0.1007,-22.849,0.1,-12.79,0.066, 3.05e-03,  0,1.012,17.121496, 1.902342,NOT_AVAILABLE,0,132.47516815965, 11.03632154375,0.72
